City,Wilaya
Alger Centre,Alger
Bab El Oued,Alger
Hussein Dey,Alger
Bir Mourad Raïs,Alger
El Harrach,Alger
Baraki,Alger
Oued Smar,Alger
Birkhadem,Alger
Dar El Beïda,Alger
Rouiba,Alger
Reghaïa,Alger
Aïn Taya,Alger
Kouba,Alger
Mohammadia,Alger
Bordj El Kiffan,Alger
Draria,Alger
Bologhine,Alger
Hydra,Alger
Bab Azzouar,Alger
Sidi Moussa,Alger
Zéralda,Alger
Baba Hassen,Alger
Staouéli,Alger
Mahelma,Alger
Tessala El Merdja,Alger
Ouled Chebel,Alger
Rahmania,Alger
Souidania,Alger
Chéraga,Alger
Dely Ibrahim,Alger
El Biar,Alger
Ben Aknoun,Alger
Bouzareah,Alger
Dély Brahim,Alger
Aïn Benian,Alger
Ouled Fayet,Alger
Douéra,Alger
Khraicia,Alger
Saoula,Alger
Birtouta,Alger
Tixeraïne,Alger
Sidi Abdellah,Alger
Ouled Fayet,Alger
Hammamet,Alger
Raïs Hamidou,Alger
Oued Koriche,Alger
Bologhine,Alger
Casbah,Alger
Oran,Oran
Es Sénia,Oran
Bir El Djir,Oran
Arzew,Oran
Gdyel,Oran
Aïn El Turk,Oran
Boutlélis,Oran
Oued Tlélat,Oran
Bethioua,Oran
Hassi Bounif,Oran
Sidi Chami,Oran
Hassi Mefsoukh,Oran
Boumerdès,Boumerdès
Thenia,Boumerdès
Dellys,Boumerdès
Boudouaou,Boumerdès
Baghlia,Boumerdès
Sidi Daoud,Boumerdès
Naciria,Boumerdès
Issers,Boumerdès
Chabet el Ameur,Boumerdès
Khemis El Khechna,Boumerdès
Larbatache,Boumerdès
Tidjelabine,Boumerdès
Si Mustapha,Boumerdès
Zemmouri,Boumerdès
Taourga,Boumerdès
Ouled Hedadj,Boumerdès
Corso,Boumerdès
Bordj Menaïel,Boumerdès

